month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1978-07,5.695454545454545,10.363636363636363,4.363636363636363,1.5454545454545454,0.0
1978-08,3.7709090909090905,7.0,3.0,1.0,0.0
1978-09,4.5181818181818185,7.181818181818182,2.272727272727273,1.0,0.0
1978-10,1.0527272727272727,2.727272727272727,0.45454545454545453,0.09090909090909091,0.0
1978-11,0.9018181818181819,4.454545454545454,0.0,0.0,0.0
1978-12,11.36909090909091,16.454545454545453,8.636363636363637,4.090909090909091,0.0
1979-01,3.303636363636364,8.363636363636363,1.3636363636363635,0.9090909090909091,0.0
1979-02,6.737272727272727,13.272727272727273,6.636363636363637,0.36363636363636365,0.0
1979-03,11.045454545454545,23.818181818181817,6.818181818181818,2.0,0.0
1979-04,5.926363636363636,11.090909090909092,5.0,1.6363636363636365,0.0
1979-05,4.920909090909091,12.0,3.5454545454545454,0.09090909090909091,0.0
1979-06,3.6818181818181817,4.7272727272727275,2.727272727272727,1.2727272727272727,0.0
1979-07,1.0445454545454547,3.0,0.6363636363636364,0.0,0.0
1979-08,6.051818181818181,10.818181818181818,4.909090909090909,1.5454545454545454,0.0
1979-09,2.3390909090909093,4.363636363636363,1.4545454545454546,0.45454545454545453,0.0
1979-10,8.11,9.272727272727273,5.454545454545454,3.727272727272727,0.0
1979-11,5.680909090909091,12.454545454545455,3.5454545454545454,1.0,0.0
1979-12,10.633636363636363,16.90909090909091,9.636363636363637,3.0,0.0
1980-01,3.169090909090909,6.909090909090909,2.272727272727273,0.5454545454545454,0.0
1980-02,4.684545454545455,8.454545454545455,3.090909090909091,1.0,0.0
1980-03,8.959090909090909,16.454545454545453,6.0,2.0,0.0
1980-04,0.9563636363636363,3.8181818181818183,0.0,0.0,0.0
1980-05,4.495454545454546,9.090909090909092,2.727272727272727,1.0,0.0
1980-06,6.987272727272727,12.909090909090908,4.636363636363637,1.8181818181818181,0.0
1980-07,10.557272727272727,12.363636363636363,6.545454545454546,4.0,0.0
1980-08,2.5645454545454545,6.363636363636363,1.7272727272727273,0.0,0.0
